,number,id,link,title,area,rooms,address,price,company_link,company_name,date
353,14,210686497,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210686497,"1-ком. квартира 29,2 м², 7/9 эт.",Советский,1,"Советский р-н, ул. 60 лет СССР, д. 27 (мкр Любенский)","42 000 р. 1 440,82  р./м²",None,Собственник,2022-11-24
354,15,210761365,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210761365,"4-ком. квартира 81,4 м², 3/9 эт.",Железнодорожный,4,"Железнодорожный р-н, ул. Новополесская, д. 36","159 000 р. 1 953,80  р./м²",None,Собственник,2022-11-24
355,16,210026913,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210026913,"4-ком. квартира 83,6 м², 8/9 эт.",Центральный,4,"Центральный р-н, ул. Мазурова (Дружба)",,None,Собственник,2022-11-24
356,17,210880375,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880375,"1-ком. квартира 35,5 м², 4/5 эт.",Центральный,1,"Центральный район, ул. Комсомольская, д. 5","84 266,36 р. 2 377,05  р./м²",/single_spec.php?id=200893805,"Агентство Одо ""Недвижимость Линия Закона""",2022-11-24
357,18,210407705,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210407705,"5-ком. квартира 86,9 м², 2/5 эт.",Центральный,5,"Добрушский р-н, г. Добруш, ул. Полевая, д. 40 (ост. ""Мелиоратор"")","70 000 р. 805,71  р./м²",None,Собственник,2022-11-24
358,19,210880098,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880098,"2-ком. квартира 52 м², 4/9 эт.",Советский,2,"Советский р-н, ул. Б.Хмельницкого, д. 112 (Монумент воинам интернационалистам)","87 500 р. 1 682,69  р./м²",None,Собственник,2022-11-23
359,20,210880045,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880045,"3-ком. квартира 69,2 м², 2/9 эт.",Советский,3,"г. Мозырь, ул. Малинина, д. 1 (м-н ""Мартин"")","72 300 р. 1 044,95  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-23
360,1,210880028,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880028,"2-ком. квартира 55 м², 8/13 эт.",Советский,2,"г. Мозырь, ул. Советская, д. 132","62 660 р. 1 138,86  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-23
361,2,210880029,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210880029,"1-ком. квартира 44,7 м², 10/10 эт.",Центральный,1,"Центральный р-н, ул. Чечерская, д. 92 (микрорайон Клёнковский)","113 740 р. 2 544,52  р./м²",None,Собственник,2022-11-23
362,3,210879906,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879906,"3-ком. квартира 65,1 м², 8/9 эт.",Советский,3,"Советский р-н, пр-т Речицкий, д. 87/1","123 840 р. 1 902,30  р./м²",/single_spec.php?id=210838521,Агентство ООО «Центр недвижимости «Престиж»,2022-11-23
363,4,210879842,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879842,"1-ком. квартира 30 м², 6/9 эт.",Советский,1,"Советский р-н, ул. Междугородняя, д. 4",55 800 р. 1 860  р./м²,/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""Пакодан Регион""",2022-11-23
364,5,210879830,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879830,"2-ком. квартира 49 м², 2/5 эт.",Советский,2,"Советский р-н, пр-т Октября, д. 79 (ун-т Сухого, МИТСО, Областная бол.)","64 000 р. 1 306,12  р./м²",/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости""",2022-11-23
365,6,210879810,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879810,"1-ком. квартира 30 м², 3/4 эт.",Гомельский,1,"Гомельский р-н, г. Речица, ул. Интернациональная, д. 2",48 480 р. 1 616  р./м²,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт""",2022-11-23
366,7,210540660,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210540660,"2-ком. квартира 46 м², 9/9 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Маневича, д. 4","81 763 р. 1 776,30  р./м²",None,Собственник,2022-11-23
367,8,210531136,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210531136,"3-ком. квартира 61,4 м², 1/9 эт.",Железнодорожный,3,"Брестская область, г. Пинск, ул. Центральная, д. 84","160 000 р. 2 605,86  р./м²",None,Собственник,2022-11-22
368,9,210879385,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879385,"2-ком. квартира 52 м², 5/5 эт.",Железнодорожный,2,"г. Речица, ул. Снежкова, д. 14Б","43 700 р. 840,38  р./м²",None,Собственник,2022-11-22
369,10,209721053,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/209721053,"2-ком. квартира 52 м², 1/9 эт.",Центральный,2,"Центральный р-н, ул. Мазурова, д. 77 (ост. ""Дружба"")","120 000 р. 2 307,69  р./м²",None,Собственник,2022-11-22
370,11,210879361,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210879361,"3-ком. квартира 71,4 м², 9/9 эт.",Центральный,3,"Центральный р-н, ул. Мазурова, д. 109А (Дружба)","261 425 р. 3 661,41  р./м²",None,Собственник,2022-11-22
371,12,210878849,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878849,"1-ком. квартира 33,3 м², 2/5 эт.",Центральный,1,"Рогачевский р-н, г. Рогачев, ул. Ленина, д. 67","35 000 р. 1 051,05  р./м²",None,Собственник,2022-11-22
372,13,210878829,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878829,"2-ком. квартира 57,7 м², 3/7 эт.",Центральный,2,"Рогачевский р-н, г. Рогачев, ул. И.Богатырева, д. 165","64 130 р. 1 111,44  р./м²",/single_spec.php?id=208314513,"Агентство ООО ""Капитал Недвижимости""",2022-11-22
373,14,210878828,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878828,"2-ком. квартира 44,2 м², 2/4 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Старочерниговская, д. 41","75 050 р. 1 697,96  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт""",2022-11-22
374,15,210878679,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878679,"1-ком. квартира 20,5 м², 2/9 эт.",Центральный,1,"Центральный р-н, г. Гомель, ул. Катунина, д. 16 (Центр.рынок. Коминтерн)","52 500 р. 2 560,98  р./м²",None,Собственник,2022-11-22
375,16,210878347,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878347,"4-ком. квартира 70 м², 6/9 эт.",Советский,4,"Советский р-н, мкр Энергетиков, д. 13","89 170 р. 1 273,86  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-22
376,17,210811377,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210811377,"2-ком. квартира 45 м², 1/5 эт.",Советский,2,"Советский р-н, ул. Чкалова, д. 49 (ост. кинотеатр ""Октябрь"")","79 900 р. 1 775,56  р./м²",None,Собственник,2022-11-22
377,18,210878158,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878158,"2-ком. квартира 42,2 м², 3/5 эт.",Железнодорожный,2,"Железнодорожный р-н, пр-т Победы, д. 25 а","98 716 р. 2 339,24  р./м²",None,Собственник,2022-11-21
378,19,210689341,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210689341,"2-ком. квартира 59 м², 1/5 эт.",Гомельский,2,"Гомельский р-н, пос. Ченки, ул. Севруковская, д. 8","92 000 р. 1 559,32  р./м²",None,Собственник,2022-11-21
379,20,210802224,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210802224,"4-ком. квартира 78 м², 3/9 эт.",Советский,4,"Советский р-н, ул. Клермон-Ферран, д. 5 (Администрация Советского района)","140 000 р. 1 794,87  р./м²",None,Собственник,2022-11-21
380,1,210878097,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878097,"1-ком. квартира 36,6 м², 14/16 эт.",Советский,1,"Советский р-н, пр-т Октября, д. 95 (Технический университет)","67 500 р. 1 844,26  р./м²",None,Собственник,2022-11-21
381,2,210877848,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210877848,"2-ком. квартира 44,4 м², 2/5 эт.",Советский,2,"Светлогорский р-н, г. Светлогорск, мкр Октябрьский, д. 34 (ясли-сад №20)","34 945 р. 787,05  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер""",2022-11-21
