,number,id,link,title,address,price,company_link,company_name
994,15,210547134,https://www.moyareklama.by/single/ad/210547134,Дом 20 м² на участке 18 сот.,"Добрушский р-н, аг. Носовичи, ул. Мичурина, д. 32",7 800 р.,None,Собственник
995,16,210725933,https://www.moyareklama.by/single/ad/210725933,"Дача 20,2 м² на участке 10 сот.","Добрушский р-н, д. Красный Октябрь, ул. 3-я, д. 46 (Остановка Антоновка)",5 000 р.,None,Собственник
996,17,210506860,https://www.moyareklama.by/single/ad/210506860,Дом 100 м² на участке 20 сот.,"Калинковичский р-н, аг. Сырод, ул. Советская, д. 2",19 280 р.,None,Собственник
997,18,210357631,https://www.moyareklama.by/single/ad/210357631,"Дача 22,3 м² на участке 6,9 сот.","Гомельский р-н, ст. ""Баштан"" (Станция ""Терюха"")",5 000 р.,None,Собственник
998,19,210448666,https://www.moyareklama.by/single/ad/210448666,Дача 25 м² на участке 0 га,"Гомельский р-н, д. Терюха, ул. Зеленая, д. 80",6 500 р.,None,Собственник
999,20,208123291,https://www.moyareklama.by/single/ad/208123291,Полдома 42 м² на участке 15 сот.,"г. Добруш, ул. Артиллерийская",35 000 р.,None,Собственник
1000,1,209538970,https://www.moyareklama.by/single/ad/209538970,Дача 65 м² на участке 5 сот.,"Речицкий р-н, д. Александровка, СО ""Приднепровское"", д. 29 (Дача на берегу р.Днепр.)",37 000 р.,None,Собственник
1001,2,210714995,https://www.moyareklama.by/single/ad/210714995,Дача 32 м² на участке 7 сот.,"Новобелицкий р-н, СО ""Тубус"", д. 91 (""ул. Тереховская"")",43 000 р.,None,Собственник
1002,3,210514381,https://www.moyareklama.by/single/ad/210514381,Дом 70 м² на участке 8 сот.,"г. Чечерск, ул. Суворова",40 000 р.,None,Собственник
1003,4,210469708,https://www.moyareklama.by/single/ad/210469708,"Дача 41 м² на участке 6,2 сот.","Новобелицкий р-н, СТ ""Барок"" (остановка ""Лисички"")",31 500 р.,None,Собственник
1004,5,210677557,https://www.moyareklama.by/single/ad/210677557,"Дом 77,4 м² на участке 13,8 сот.","Советский р-н, ул. Калинина",130 000 р.,None,Собственник
1005,6,210702117,https://www.moyareklama.by/single/ad/210702117,Дом 72 м² на участке 10 сот.,"г. Добруш, ул. Космонавтов, д. 97",48 000 р.,None,Собственник
1006,7,210718414,https://www.moyareklama.by/single/ad/210718414,"Дача 47,2 м² на участке 10 сот.","Добрушский р-н, пос. Дударево (Ларищево)",12 000 р.,None,Собственник
1007,8,210718584,https://www.moyareklama.by/single/ad/210718584,"Часть дома 112,6 м² на участке 6 сот.","Советский р-н, ул. Ярославская",17 408 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1008,9,210654041,https://www.moyareklama.by/single/ad/210654041,"Дом 272,4 м² на участке 12,7 сот.","Центральный р-н, ул. Ландышева",457 200 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1009,10,210253348,https://www.moyareklama.by/single/ad/210253348,Часть дома 55 м² на участке 3 сот.,"Железнодорожный р-н, ул. 3-я Иногородняя (м-н ""1000 мелочей"")",63 500 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1010,11,210002921,https://www.moyareklama.by/single/ad/210002921,"Дом 90 м² на участке 12,7 сот.","Советский р-н, ул. Рокоссовского",86 360 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1011,12,210242147,https://www.moyareklama.by/single/ad/210242147,"Дом 234 м² на участке 6,4 сот.","Новобелицкий р-н, ул. Ф.Скорины",178 500 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1012,13,210502693,https://www.moyareklama.by/single/ad/210502693,"Дом 63,7 м² на участке 4 сот.","Новобелицкий р-н, ул. 1-я Транзитная",52 070 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1013,14,209970897,https://www.moyareklama.by/single/ad/209970897,"Дом 60,9 м² на участке 5 сот.","Новобелицкий р-н, ул. Севастопольская (автосервис ""Славир-Авто"")",48 260 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1014,15,210271880,https://www.moyareklama.by/single/ad/210271880,"Дом 49,8 м² на участке 11,9 сот.","Новобелицкий р-н, ул. Республиканская (жиромясокомбинат)",49 530 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1015,16,210633216,https://www.moyareklama.by/single/ad/210633216,"Дом 95,4 м² на участке 0,3 га","Гомельский р-н, д. Телеши, ул. Молодёжная",50 610 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1016,17,210641779,https://www.moyareklama.by/single/ad/210641779,"Дача 95,4 м² на участке 0,3 га","Гомельский р-н, д. Телеши, ул. Молодёжная",50 610 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1017,18,209979490,https://www.moyareklama.by/single/ad/209979490,"Дом 333,1 м² на участке 14,9 сот.","Гомельский р-н, пос. Красный Маяк, ул. Кольцевая",741 000 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1018,19,210648450,https://www.moyareklama.by/single/ad/210648450,"Дача 40,9 м² на участке 25 сот.","Речицкий р-н, д. Чижовка (Борщевский с/с)",44 450 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
